X,gid,comp_id,date,ascore,hscore,period,status,home_away,tid
1,37,2,10/7/2017,NA,NA,NA,NA,away,25
2,67,2,10/9/2017,NA,NA,NA,NA,away,29
3,154,1,10/14/2013,NA,NA,NA,NA,away,29
4,278,1,10/24/2013,NA,NA,NA,NA,away,53
5,291,1,10/25/2013,NA,NA,NA,NA,away,5
6,294,1,10/25/2013,NA,NA,NA,NA,away,51
7,396,2,11/3/2017,NA,NA,NA,NA,away,17
8,402,2,11/4/2017,NA,NA,NA,NA,away,19
9,421,2,11/5/2017,NA,NA,NA,NA,away,66
10,518,1,11/11/2013,NA,NA,NA,NA,away,53
11,528,2,11/13/2017,NA,NA,NA,NA,away,29
12,600,1,11/17/2013,NA,NA,NA,NA,away,10
13,622,2,11/20/2017,NA,NA,NA,NA,away,45
14,640,2,11/22/2017,NA,NA,NA,NA,away,2
15,673,1,11/23/2013,NA,NA,NA,NA,away,45
16,741,1,11/28/2013,NA,NA,NA,NA,away,1
17,782,1,12/1/2013,NA,NA,NA,NA,away,1
18,794,2,12/2/2017,NA,NA,NA,NA,away,59
19,825,2,12/4/2017,NA,NA,NA,NA,away,46
20,857,1,12/7/2013,NA,NA,NA,NA,away,18
21,921,2,12/11/2017,NA,NA,NA,NA,away,17
22,966,2,12/15/2017,NA,NA,NA,NA,away,51
23,992,1,12/15/2013,NA,NA,NA,NA,away,14
24,1036,2,12/19/2017,NA,NA,NA,NA,away,66
25,1083,2,12/23/2017,NA,NA,NA,NA,away,35
26,1272,1,1/6/2014,NA,NA,NA,NA,away,19
27,1282,2,1/7/2018,NA,NA,NA,NA,away,28
28,1337,1,1/11/2014,NA,NA,NA,NA,away,51
29,1351,2,1/14/2018,NA,NA,NA,NA,away,4
30,1419,1,1/17/2014,NA,NA,NA,NA,away,51
31,1565,2,2/2/2018,NA,NA,NA,NA,away,21
32,1586,2,2/3/2018,NA,NA,NA,NA,away,21
33,1593,2,2/4/2018,NA,NA,NA,NA,away,18
34,1623,2,2/6/2018,NA,NA,NA,NA,away,25
35,1712,2,2/12/2018,NA,NA,NA,NA,away,22
36,1763,1,2/27/2014,NA,NA,NA,NA,away,41
37,1800,1,3/1/2014,NA,NA,NA,NA,away,29
38,1823,1,3/2/2014,NA,NA,NA,NA,away,32
39,1832,1,3/4/2014,NA,NA,NA,NA,away,52
40,1874,2,2/23/2018,NA,NA,NA,NA,away,17
41,1886,2,2/24/2018,NA,NA,NA,NA,away,35
42,1909,2,2/25/2018,NA,NA,NA,NA,away,17
43,1921,1,3/9/2014,NA,NA,NA,NA,away,18
44,2005,2,3/3/2018,NA,NA,NA,NA,away,7
45,2088,2,3/9/2018,NA,NA,NA,NA,away,7
46,2156,1,3/25/2014,NA,NA,NA,NA,away,51
47,2162,2,3/15/2018,NA,NA,NA,NA,away,16
48,2204,2,3/17/2018,NA,NA,NA,NA,away,2
49,2253,2,3/20/2018,NA,NA,NA,NA,away,14
50,2286,2,3/23/2018,NA,NA,NA,NA,away,53
51,2332,1,4/6/2014,NA,NA,NA,NA,away,41
52,2550,2541,4/23/2018,NA,NA,NA,NA,away,25
53,2551,2541,4/25/2018,NA,NA,NA,NA,away,29
54,2578,2541,4/25/2018,NA,NA,NA,NA,away,52
55,2588,2453,5/4/2014,NA,NA,NA,NA,away,35
56,2592,2541,4/24/2018,NA,NA,NA,NA,away,14
57,2604,2541,4/24/2018,NA,NA,NA,NA,away,22
58,2607,2541,4/13/2018,NA,NA,NA,NA,away,35
59,2615,2541,4/22/2018,NA,NA,NA,NA,away,4
60,2616,2541,4/25/2018,NA,NA,NA,NA,away,35
61,2625,2541,4/20/2018,NA,NA,NA,NA,away,41
62,2626,2541,4/21/2018,NA,NA,NA,NA,away,59
63,2627,2541,4/23/2018,NA,NA,NA,NA,away,41
64,2636,2541,4/21/2018,NA,NA,NA,NA,away,16
65,2637,2541,4/22/2018,NA,NA,NA,NA,away,21
66,2638,2541,4/24/2018,NA,NA,NA,NA,away,16
67,2649,2541,5/8/2018,NA,NA,NA,NA,away,25
68,2650,2541,5/10/2018,NA,NA,NA,NA,away,20
