,tid,name,tname,lname,tricode,abbr,sname
1,1,Toronto Maple Leafs,Maple Leafs,Toronto,TOR,TOR,Toronto
2,2,Montréal Canadiens,Canadiens,Montréal,MTL,MTL,Montréal
3,4,Winnipeg Jets,Jets,Winnipeg,WPG,WPG,Winnipeg
4,5,Washington Capitals,Capitals,Washington,WSH,WSH,Washington
5,6,Chicago Blackhawks,Blackhawks,Chicago,CHI,CHI,Chicago
6,7,St. Louis Blues,Blues,St. Louis,STL,STL,St Louis
7,8,Pittsburgh Penguins,Penguins,Pittsburgh,PIT,PIT,Pittsburgh
8,10,Edmonton Oilers,Oilers,Edmonton,EDM,EDM,Edmonton
9,11,Calgary Flames,Flames,Calgary,CGY,CGY,Calgary
10,14,Philadelphia Flyers,Flyers,Philadelphia,PHI,PHI,Philadelphia
11,16,San Jose Sharks,Sharks,San Jose,SJS,SJS,San Jose
12,17,Buffalo Sabres,Sabres,Buffalo,BUF,BUF,Buffalo
13,18,Detroit Red Wings,Red Wings,Detroit,DET,DET,Detroit
14,19,Nashville Predators,Predators,Nashville,NSH,NSH,Nashville
15,20,Boston Bruins,Bruins,Boston,BOS,BOS,Boston
16,21,Anaheim Ducks,Ducks,Anaheim,ANA,ANA,Anaheim
17,22,Colorado Avalanche,Avalanche,Colorado,COL,COL,Colorado
18,25,Tampa Bay Lightning,Lightning,Tampa Bay,TBL,TBL,Tampa Bay
19,28,New York Rangers,Rangers,New York,NYR,NYR,NY Rangers
20,29,New Jersey Devils,Devils,New Jersey,NJD,NJD,New Jersey
21,32,Ottawa Senators,Senators,Ottawa,OTT,OTT,Ottawa
22,35,Minnesota Wild,Wild,Minnesota,MIN,MIN,Minnesota
23,41,Los Angeles Kings,Kings,Los Angeles,LAK,LAK,Los Angeles
24,43,Arizona Coyotes,Coyotes,Arizona,ARI,ARI,Arizona
25,45,Florida Panthers,Panthers,Florida,FLA,FLA,Florida
26,46,Dallas Stars,Stars,Dallas,DAL,DAL,Dallas
27,50,Phoenix Coyotes,Coyotes,Phoenix,PHX,PHX,Phoenix
28,51,New York Islanders,Islanders,New York,NYI,NYI,NY Islanders
29,52,Columbus Blue Jackets,Blue Jackets,Columbus,CBJ,CBJ,Columbus
30,53,Vancouver Canucks,Canucks,Vancouver,VAN,VAN,Vancouver
31,59,Vegas Golden Knights,Golden Knights,Vegas,VGK,VGK,Vegas
32,66,Carolina Hurricanes,Hurricanes,Carolina,CAR,CAR,Carolina
33,11366,Atlanta Thrashers,Thrashers,Atlanta,ATL,ATL,Atlanta
