Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,RAR,WAR,oWAR,Rfield
abreujo02,1,1,0,3,1,24.6,24.6,25.5,25.5,238,54,3,5,244,25.3,26.1,-11
ackledu01,0,0,0,0,0,7.8,7.8,6.700000000000001,6.700000000000001,76,36,0,0,76,7.8,6.700000000000001,9
acunaro01,0,1,3,0,0,12.500000000000002,12.500000000000002,11.8,11.8,130,53,1,3,130,12.500000000000002,11.8,10
adamewi01,0,0,0,0,0,7.7,7.7,6.9,6.9,75,39,0,0,75,7.7,6.9,6
adamsma01,0,0,0,0,0,5.6,5.6,5.0,5.0,67,24,0,0,61,4.9,4.1,11
adriaeh01,0,0,0,0,0,1.9000000000000001,1.7,2.3000000000000003,2.6,19,9,0,0,15,1.3,2.3,-12
aguilje01,0,0,0,1,0,5.2,5.2,4.9,4.9,56,36,1,1,52,4.7,4.4,5
ahmedni01,0,0,0,0,0,11.899999999999999,11.899999999999999,3.9000000000000004,4.900000000000001,126,44,0,0,125,11.799999999999999,3.6999999999999997,80
alberha01,0,0,0,0,0,3.5999999999999996,3.5999999999999996,1.9999999999999998,1.9999999999999998,36,36,0,0,36,3.5999999999999996,1.9999999999999998,14
albieoz01,1,0,0,0,0,11.499999999999998,11.499999999999998,9.8,9.8,122,51,1,0,122,11.499999999999998,9.8,21
alfarjo01,0,0,0,0,0,2.4,2.4,3.9,3.9,31,18,0,0,31,2.4,3.9,-13
allengr01,0,0,0,0,0,0.6,0.6,0.49999999999999994,0.49999999999999994,3,3,0,0,3,0.6,0.49999999999999994,-1
almonab01,0,0,0,0,0,2.7,2.2,1.1,1.4000000000000001,28,8,0,0,21,2.0,0.9000000000000001,10
almoral01,0,0,0,0,0,3.0999999999999996,3.0999999999999996,1.9,1.9,37,24,0,0,37,3.0999999999999996,1.9,14
alonspe01,0,1,0,1,0,6.4,6.4,6.8999999999999995,6.8999999999999995,68,58,1,1,68,6.4,6.8999999999999995,-3
alonsyo01,0,0,0,0,0,9.3,8.9,7.0,7.699999999999999,94,21,1,0,81,8.1,6.9,7
altheaa01,0,0,0,0,0,1.4999999999999998,1.4999999999999998,0.8999999999999997,0.8999999999999997,20,19,0,0,20,1.4999999999999998,0.8999999999999997,7
altuvjo01,4,0,0,0,5,35.4,35.1,36.699999999999996,38.7,347,78,6,5,366,37.29999999999999,40.9,-39
alvarpe01,0,0,0,0,0,7.3999999999999995,6.2,11.1,12.099999999999998,77,33,1,0,58,4.999999999999999,11.299999999999999,-60
alvaryo01,0,0,0,0,0,5.0,5.0,4.800000000000001,4.800000000000001,49,38,0,0,49,5.0,4.800000000000001,1
amarial01,0,0,0,0,0,-0.7999999999999999,-0.8,0.30000000000000004,0.2999999999999997,3,19,0,0,3,-0.7999999999999999,0.2999999999999997,-10
anderbr06,0,0,0,0,0,7.7,7.7,7.499999999999999,7.499999999999999,83,36,0,0,83,7.7,7.499999999999999,7
anderti01,0,0,0,0,1,13.100000000000001,13.100000000000001,13.7,13.7,129,41,0,1,129,13.100000000000001,13.7,-10
andinro01,0,0,0,0,0,3.3,3.1000000000000005,1.3,1.3999999999999997,35,26,0,0,21,1.9000000000000004,0.7999999999999999,12
andruel01,0,0,0,0,0,25.3,22.5,22.4,22.599999999999998,247,54,2,0,279,28.899999999999995,29.099999999999994,-7
andujmi01,0,0,0,0,0,1.3,1.3,4.2,4.2,12,28,0,0,12,1.3,4.2,-30
aokino01,0,0,0,0,0,10.399999999999999,10.399999999999999,10.1,10.1,104,31,0,0,104,10.399999999999999,10.1,0
arciaor01,0,0,0,0,0,2.4999999999999996,2.4999999999999996,1.5999999999999996,1.5999999999999996,32,24,0,0,32,2.4999999999999996,1.5999999999999996,10
arciaos01,0,0,0,0,0,-1.6,-1.6,2.1,2.1,-16,5,0,0,-16,-1.6,2.1,-36
arenano01,1,0,1,4,1,38.7,38.7,26.799999999999997,27.5,392,77,5,5,421,41.599999999999994,28.199999999999996,132
arraelu01,0,0,0,0,0,3.9000000000000004,3.9000000000000004,4.3,4.3,38,16,0,0,38,3.9000000000000004,4.3,-6
ascheco01,0,0,0,0,0,-1.9,-1.9,0.6999999999999998,0.6999999999999998,-11,6,0,0,-11,-1.9,0.6999999999999998,-23
astudwi01,0,0,0,0,0,1.2000000000000002,1.2000000000000002,1.4,1.4,12,8,0,0,12,1.2000000000000002,1.4,-2
asuajca01,0,0,0,0,0,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,7,8,0,0,7,0.39999999999999997,0.39999999999999997,1
austity01,0,0,0,0,0,0.9,0.9,0.8999999999999999,0.8999999999999999,9,6,0,0,9,0.9,0.8999999999999999,0
avilaal01,0,0,0,0,0,15.2,13.8,13.9,14.6,151,51,1,1,165,16.4,16.4,3
avilemi01,0,0,0,0,0,9.599999999999998,9.200000000000001,7.8999999999999995,8.3,96,46,0,0,60,5.8999999999999995,6.099999999999998,-4
aybarer01,0,0,0,0,0,22.9,21.7,22.8,22.799999999999997,224,44,1,0,224,22.799999999999997,24.2,-14
baderha01,0,0,0,0,0,7.299999999999999,7.299999999999999,3.5999999999999996,3.5999999999999996,77,34,0,0,77,7.299999999999999,3.5999999999999996,37
baezja01,1,0,0,0,0,20.900000000000002,20.9,14.5,14.499999999999998,214,69,2,1,208,19.999999999999996,14.0,62
barneau01,0,0,0,0,0,3.8000000000000003,3.8,3.7,3.7,41,25,0,0,41,3.8000000000000003,3.7,2
barnebr02,0,0,0,0,0,0.6999999999999997,0.6999999999999997,-0.7999999999999999,-0.7999999999999999,12,13,0,0,12,0.6999999999999997,-0.7999999999999999,13
barneda01,0,0,0,0,0,10.0,9.2,2.9,4.3999999999999995,97,44,0,0,91,8.899999999999999,2.9000000000000004,53
barnhtu01,0,0,0,0,0,7.4,7.4,4.6,4.6000000000000005,83,37,0,0,84,7.4,4.3999999999999995,34
bauerja01,0,0,0,0,0,-0.7,-0.7,-0.2,-0.2,-10,4,0,0,-10,-0.7,-0.2,-8
bautijo02,0,2,1,1,0,38.2,38.2,36.4,36.4,370,83,6,3,361,36.5,40.300000000000004,-36
beckhgo01,0,0,0,0,0,7.2,7.2,8.2,8.2,74,21,0,0,59,5.6,7.8999999999999995,-22
beckhti01,0,0,0,0,0,3.8,3.8,7.1000000000000005,7.1000000000000005,37,25,0,0,37,3.8,7.1000000000000005,-34
bellico01,0,0,0,1,0,18.4,18.4,14.799999999999999,14.799999999999999,191,91,2,2,191,18.4,14.799999999999999,39
