,away,home,home_team,away_team,time
20171006_173713,7,2,Winnipeg Jets,Toronto Maple Leafs,20171006_173713
20171008_080732,5,4,Pittsburgh Penguins,St. Louis Blues,20171008_080732
20171008_080734,0,3,Edmonton Oilers,Calgary Flames,20171008_080734
20171008_160734,5,3,San Jose Sharks,Philadelphia Flyers,20171008_160734
20171009_153739,3,4,Boston Bruins,Nashville Predators,20171009_153739
20171008_170720,2,2,Buffalo Sabres,Montréal Canadiens,20171008_170720
20171009_160746,4,2,New York Rangers,Colorado Avalanche,20171009_160746
20171009_220745,4,4,Ottawa Senators,Washington Capitals,20171009_220745
20171008_123724,2,4,Detroit Red Wings,Minnesota Wild,20171008_123724
20171009_173752,1,10,Chicago Blackhawks,Pittsburgh Penguins,20171009_173752
20171009_180755,4,5,Anaheim Ducks,Arizona Coyotes,20171009_180755
20171006_234724,0,2,Los Angeles Kings,Philadelphia Flyers,20171006_234724
20171008_123713,0,5,Columbus Blue Jackets,New York Islanders,20171008_123713
20171010_230737,3,5,Tampa Bay Lightning,Florida Panthers,20171010_230737
20171010_223738,2,1,Dallas Stars,Vegas Golden Knights,20171010_223738
20171010_150717,5,8,Toronto Maple Leafs,New York Rangers,20171010_150717
20171011_170728,1,1,Ottawa Senators,Detroit Red Wings,20171011_170728
20200717_194202,4,5,Florida Panthers,Tampa Bay Lightning,20200717_194202
20171008_124714,1,4,New Jersey Devils,Colorado Avalanche,20171008_124714
20171011_133731,3,6,New York Islanders,Buffalo Sabres,20171011_133731
20171011_133733,0,4,Pittsburgh Penguins,Nashville Predators,20171011_133733
20171011_150733,1,6,Washington Capitals,Montréal Canadiens,20171011_150733
20171010_143726,4,4,Carolina Hurricanes,Minnesota Wild,20171010_143726
20171011_190738,2,4,St. Louis Blues,Dallas Stars,20171011_190738
20171011_170740,1,5,Chicago Blackhawks,Columbus Blue Jackets,20171011_170740
20171011_133742,2,1,Arizona Coyotes,Vegas Golden Knights,20171011_133742
20171010_163733,3,6,Calgary Flames,Winnipeg Jets,20171010_163733
20171009_063730,2,3,Vancouver Canucks,Edmonton Oilers,20171009_063730
20171011_193746,3,2,Anaheim Ducks,Philadelphia Flyers,20171011_193746
20171011_193752,4,1,San Jose Sharks,Los Angeles Kings,20171011_193752
20171012_120733,0,2,New York Rangers,Montréal Canadiens,20171012_120733
20171013_233731,4,0,Boston Bruins,Colorado Avalanche,20171013_233731
20171013_170733,2,2,New York Islanders,St. Louis Blues,20171013_170733
20200717_194210,6,2,Buffalo Sabres,New Jersey Devils,20200717_194210
20171013_213736,3,4,Toronto Maple Leafs,Chicago Blackhawks,20171013_213736
20171013_080741,3,4,Tampa Bay Lightning,Washington Capitals,20171013_080741
