Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,season
1,Dominik Hasek,32,BUF,G,519,96.11,50,2,1,0,0,0,3,3,0.0,37.0,20.0,10.0,2.27,0.93,0.0,0.0,17.2,17.2,19961997
2,Paul Kariya,22,MDA,LW,239,44.26,3,21,9,4,5,44,55,99,36.0,,,,,,10.6,2.0,0.0,12.6,19961997
3,Mario Lemieux,31,PIT,C,181,33.52,1,11,12,10,4,50,72,122,27.0,,,,,,12.8,1.7,0.0,14.5,19961997
4,Martin Brodeur,24,NJD,G,115,21.3,0,7,6,11,3,0,4,4,0.0,37.0,14.0,13.0,1.88,0.927,0.0,0.0,12.4,12.4,19961997
5,Teemu Selanne,26,MDA,RW,70,12.96,0,3,6,5,4,51,58,109,28.0,,,,,,11.8,1.9,0.0,13.7,19961997
6,John LeClair,27,PHI,LW,66,12.22,0,4,5,2,7,50,47,97,44.0,,,,,,10.6,2.4,0.0,13.0,19961997
7,Mike Modano,26,DAL,C,44,8.15,0,0,3,7,8,35,48,83,43.0,,,,,,7.8,2.4,0.0,10.2,19961997
8,Patrick Roy,31,COL,G,31,5.74,0,2,2,0,7,0,1,1,0.0,38.0,15.0,7.0,2.32,0.923,0.0,0.0,13.5,13.5,19961997
9,Eric Lindros,23,PHI,C,30,5.56,0,2,2,1,3,32,47,79,31.0,,,,,,8.4,1.6,0.0,10.0,19961997
10,Keith Tkachuk,24,PHX,LW,25,4.63,0,0,2,4,3,52,34,86,-1.0,,,,,,9.7,1.2,0.0,10.9,19961997
11,Peter Forsberg,23,COL,C,17,3.15,0,0,2,2,1,28,58,86,31.0,,,,,,8.1,1.9,0.0,10.0,19961997
12,Ziggy Palffy,24,NYI,RW,16,2.96,0,1,1,1,1,48,42,90,21.0,,,,,,10.2,1.8,0.0,12.0,19961997
13,Jaromir Jagr,24,PIT,RW,15,2.78,0,1,1,0,3,47,48,95,22.0,,,,,,10.6,1.4,0.0,12.0,19961997
14,Joe Sakic,27,COL,C,10,1.85,0,0,0,3,1,22,52,74,-10.0,,,,,,6.4,0.5,0.0,6.9,19961997
15,Wayne Gretzky,36,NYR,C,8,1.48,0,0,1,1,0,25,72,97,12.0,,,,,,8.2,1.3,0.0,9.5,19961997
16,Brian Leetch,28,NYR,D,6,1.11,0,0,0,2,0,20,58,78,31.0,,,,,,7.5,5.6,0.0,13.1,19961997
17,Tony Amonte,26,CHI,RW,5,0.93,0,0,1,0,0,41,36,77,35.0,,,,,,7.9,2.2,0.0,10.1,19961997
18,Mats Sundin,25,TOR,C,3,0.56,0,0,0,1,0,41,53,94,6.0,,,,,,9.7,1.3,0.0,11.0,19961997
19,Doug Gilmour,33,TOT,C,1,0.19,0,0,0,0,1,22,60,82,2.0,,,,,,6.7,1.2,0.0,7.9,19961997
19,Guy Hebert,30,MDA,G,1,0.19,0,0,0,0,1,0,1,1,0.0,29.0,25.0,12.0,2.67,0.919,0.0,0.0,14.7,14.7,19961997
19,Mike Richter,30,NYR,G,1,0.19,0,0,0,0,1,0,0,0,0.0,33.0,22.0,6.0,2.69,0.917,0.0,0.0,13.0,13.0,19961997
19,Brendan Shanahan,28,TOT,LW,1,0.19,0,0,0,0,1,47,41,88,32.0,,,,,,9.3,2.3,0.0,11.6,19961997
1,Dominik Hasek,33,BUF,G,499,92.41,43,7,4,0,0,0,2,2,0.0,33.0,23.0,13.0,2.09,0.932,0.0,0.0,18.6,18.6,19971998
2,Jaromir Jagr,25,PIT,RW,308,57.04,4,25,16,4,1,35,67,102,17.0,,,,,,10.9,1.7,0.0,12.6,19971998
3,Teemu Selanne,27,MDA,RW,247,45.74,5,14,16,4,7,52,34,86,12.0,,,,,,12.0,1.3,0.0,13.3,19971998
4,Martin Brodeur,25,NJD,G,115,21.3,1,5,7,8,11,0,3,3,0.0,43.0,17.0,8.0,1.89,0.917,0.0,0.0,11.1,11.1,19971998
5,Wayne Gretzky,37,NYR,C,46,8.52,1,0,1,9,4,23,67,90,-11.0,,,,,,8.2,0.9,0.0,9.1,19971998
6,Peter Bondra,29,WSH,RW,40,7.41,0,1,3,5,3,52,26,78,14.0,,,,,,10.5,1.6,0.0,12.1,19971998
7,John LeClair,28,PHI,LW,34,6.3,0,0,3,5,4,51,36,87,30.0,,,,,,11.0,2.1,0.0,13.1,19971998
8,Peter Forsberg,24,COL,C,26,4.81,0,0,0,7,5,25,66,91,6.0,,,,,,9.0,1.1,0.0,10.1,19971998
9,Jason Allison,22,BOS,C,18,3.33,0,1,1,1,3,33,50,83,33.0,,,,,,8.9,2.4,0.0,11.3,19971998
10,Rob Blake,28,LAK,D,17,3.15,0,0,1,2,5,23,27,50,-3.0,,,,,,5.9,3.0,0.0,8.8,19971998
11,Olaf Kolzig,27,WSH,G,8,1.48,0,0,1,1,0,0,1,1,0.0,33.0,18.0,10.0,2.2,0.92,0.0,0.0,12.7,12.7,19971998
12,Byron Dafoe,26,BOS,G,7,1.3,0,1,0,0,0,0,3,3,0.0,30.0,25.0,9.0,2.24,0.914,0.0,0.0,10.8,10.8,19971998
12,Joe Nieuwendyk,31,DAL,C,7,1.3,0,0,1,0,2,39,30,69,16.0,,,,,,8.4,1.7,0.0,10.0,19971998
12,Nicklas Lidstrom,27,DET,D,7,1.3,0,0,0,2,1,17,42,59,22.0,,,,,,6.1,5.5,0.0,11.6,19971998
15,Ron Francis,34,PIT,C,6,1.11,0,0,0,2,0,25,62,87,12.0,,,,,,8.2,1.6,0.0,9.8,19971998
15,Chris Pronger,23,STL,D,6,1.11,0,0,0,2,0,9,27,36,47.0,,,,,,2.9,7.3,0.0,10.3,19971998
15,Ed Belfour,32,DAL,G,6,1.11,0,0,0,1,3,0,0,0,0.0,37.0,12.0,10.0,1.88,0.916,0.0,0.0,9.3,9.3,19971998
18,Tom Barrasso,32,PIT,G,3,0.56,0,0,0,1,0,0,2,2,0.0,31.0,14.0,13.0,2.07,0.922,0.0,0.0,11.8,11.8,19971998
19,Steve Yzerman,32,DET,C,2,0.37,0,0,0,0,2,24,45,69,3.0,,,,,,6.7,0.9,0.0,7.6,19971998
20,Bobby Holik,27,NJD,C,1,0.19,0,0,0,0,1,29,36,65,23.0,,,,,,6.5,2.1,0.0,8.6,19971998
20,Curtis Joseph,30,EDM,G,1,0.19,0,0,0,0,1,0,2,2,0.0,29.0,31.0,9.0,2.63,0.905,0.0,0.0,11.0,11.0,19971998
1,Jaromir Jagr,26,PIT,RW,543,96.96,51,4,1,0,0,44,83,127,17.0,,,,,,11.9,2.7,0.0,14.6,19981999
2,Alexei Yashin,25,OTT,C,226,40.36,0,23,9,5,5,44,50,94,16.0,,,,,,9.6,2.4,0.0,12.0,19981999
3,Dominik Hasek,34,BUF,G,172,30.71,4,10,8,5,7,0,0,0,0.0,30.0,18.0,14.0,1.87,0.937,0.0,0.0,16.8,16.8,19981999
4,Curtis Joseph,31,TOR,G,118,21.07,1,5,10,7,2,0,5,5,0.0,35.0,24.0,7.0,2.56,0.91,0.0,0.0,11.6,11.6,19981999
5,Teemu Selanne,28,MDA,RW,111,19.82,0,3,14,5,5,47,60,107,18.0,,,,,,11.6,2.7,0.0,14.3,19981999
