Place,Player,Vote%
1,Nikita Kucherov,98.07
2,Sidney Crosby,43.22
3,Connor McDavid,27.19
4,Johnny Gaudreau,25.85
5,Brad Marchand,18.83
6,Nathan MacKinnon,15.5
7,Alex Ovechkin,12.46
8,Patrick Kane,7.31
9,Mark Giordano,3.86
10,Sebastian Aho,1.23
10,Jordan Binnington,1.23
12,Mark Stone,1.05
13,Ryan O'Reilly,0.88
14,Steven Stamkos,0.7
15,Patrice Bergeron,0.47
16,Aleksander Barkov,0.41
17,Marc-Andre Fleury,0.41
17,John Tavares,0.41
19,Ben Bishop,0.29
19,Brent Burns,0.29
21,Brayden Point,0.18
22,Darcy Kuemper,0.06
22,Mark Scheifele,0.06
22,Andrei Vasilevskiy,0.06
