Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,RAR,WAR,oWAR,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,Rfield,OPS,ten,HOF
aaronha01,8,6,5,5,9,1365,143.09999999999997,132.7,60.300000000000004,59.0,54.6,57.599999999999994,578,94,21,8,98,0.9288256930044324,1,1
aaronto01,0,0,0,0,0,-21,-2.8000000000000003,-2.0999999999999996,-2.8000000000000003,-2.8,-2.1,-2.0999999999999996,-21,9,0,0,-7,0.6177151238591917,0,0
abbated01,0,0,0,0,0,81,8.599999999999998,15.099999999999998,9.899999999999999,9.1,15.1,15.099999999999998,95,32,0,0,-57,0.6302026538808598,0,0
abbeych01,0,0,0,0,0,-11,-0.8,-0.1,-0.8,-0.8,-0.1,-0.1,-11,-11,0,0,-8,0.6621009889063745,0,0
abbotfr01,0,0,0,0,0,7,0.5,0.30000000000000004,0.5,0.5,0.30000000000000004,0.30000000000000004,7,10,0,0,2,0.5001935614274898,0,0
abbotje01,0,0,0,0,0,-14,-1.5000000000000002,0.39999999999999997,-1.5000000000000002,-1.5000000000000002,0.39999999999999997,0.39999999999999997,-14,1,0,0,-21,0.7189024136062362,0,0
abbotku01,0,0,0,0,0,12,0.5999999999999999,3.8,2.0000000000000004,0.8,4.0,4.3,25,21,0,0,-32,0.718863115300853,0,0
abernbr01,0,0,0,0,0,2,-5.551115123125783e-17,0.5000000000000001,-5.551115123125783e-17,-5.551115123125783e-17,0.5000000000000001,0.5000000000000001,2,12,0,0,-4,0.6108995139726797,0,0
abnersh01,0,0,0,0,0,-8,-1.2999999999999998,-2.2,-1.2999999999999998,-1.2999999999999998,-2.2,-2.2,-8,18,0,0,6,0.5840715615855281,0,0
abramca01,0,0,0,0,0,85,8.3,8.7,8.3,8.3,8.7,8.7,85,36,0,1,-1,0.7713153467409591,0,0
abreubo01,0,0,0,0,0,631,60.400000000000006,61.699999999999996,41.7,41.7,37.2,37.5,436,68,2,7,-6,0.8695220541046608,1,0
abreuto01,0,0,0,0,0,0,-0.40000000000000013,-0.5000000000000002,-0.40000000000000013,-0.40000000000000013,-0.5000000000000002,-0.5000000000000002,0,11,0,0,2,0.655917513879876,0,0
abstebi01,0,0,0,0,0,0,-0.3999999999999999,1.1102230246251565e-16,-0.3999999999999999,-0.3999999999999999,1.1102230246251565e-16,1.1102230246251565e-16,0,9,0,0,-4,0.5771032955908197,0,0
acostme01,0,0,0,0,0,8,0.8,1.5,0.8,0.8,1.5,1.5,8,7,0,0,-6,0.6387680209698559,0,0
adairje01,0,0,0,0,0,106,8.299999999999999,3.6000000000000005,11.4,10.5,5.0,6.7,125,29,0,2,56,0.6334375247381827,1,0
adamsbe01,0,0,0,0,0,-21,-2.9,-2.3,-0.8999999999999999,-2.6,-2.0,-0.9000000000000001,-6,3,0,0,-6,0.4684772657918828,0,0
adamsbo03,1,0,0,0,0,165,15.899999999999999,16.7,13.400000000000002,10.5,11.5,12.799999999999997,137,25,0,1,-2,0.6986468872434631,1,0
adamsbu01,0,0,0,0,0,91,8.8,9.8,8.8,8.8,9.8,9.8,91,49,0,1,-8,0.734805334281774,0,0
adamsgl01,0,0,0,0,0,-5,-1.3000000000000003,0.2999999999999998,0.3999999999999998,-0.8,0.7999999999999998,1.9,8,14,0,0,-13,0.7201012863752186,0,0
adamsru01,0,0,0,0,0,0,-0.10000000000000012,2.5,-0.10000000000000012,-0.10000000000000012,2.5,2.5,0,9,0,0,-26,0.6807259171881193,0,0
adamssp01,0,0,0,0,0,164,16.5,11.8,15.100000000000001,12.600000000000001,8.4,10.1,150,44,0,0,54,0.6831275932366375,1,0
adamssp02,0,0,0,0,0,-9,-0.9,0.0,-0.9,-0.9,0.0,0.0,-9,1,0,0,-9,0.6297229784725926,0,0
adcocjo01,0,0,0,0,1,346,33.5,35.0,23.799999999999997,20.799999999999997,20.700000000000003,24.1,238,49,1,3,1,0.8188651390653572,1,0
addisbo01,0,0,0,0,0,9,0.9,0.8,0.9,0.9,0.8,0.8,9,9,0,0,1,0.665476747815231,0,0
agbaybe01,0,0,0,0,0,18,1.2000000000000002,2.4000000000000004,1.2000000000000002,1.2000000000000002,2.4000000000000004,2.4000000000000004,18,22,0,0,-9,0.7957892709689323,0,0
ageeto01,0,0,0,0,0,241,25.300000000000004,18.3,26.300000000000004,25.099999999999998,19.1,19.3,248,61,2,2,64,0.7235301606330213,1,0
agganha01,0,0,0,0,0,5,0.4,0.4,0.4,0.4,0.4,0.4,5,7,0,0,1,0.7347200351558208,0,0
agnewsa01,0,0,0,0,0,55,5.4,1.0,5.4,5.4,1.0,1.0,55,18,0,1,39,0.4948103661872154,0,0
aguaylu01,0,0,0,0,0,29,2.9000000000000004,4.2,3.8000000000000007,3.0,4.1,4.6000000000000005,36,14,0,0,-14,0.6804536043666478,1,0
aikenwi01,0,0,0,0,0,84,7.999999999999998,9.4,8.8,8.7,10.1,10.200000000000001,90,24,0,0,-12,0.8064170846886778,0,0
aingeda01,0,0,0,0,0,-16,-2.0,-2.2,-2.0,-2.0,-2.2,-2.2,-16,-3,0,0,2,0.5240475841414121,0,0
ainsmed01,0,0,0,0,0,66,6.199999999999999,7.1000000000000005,7.500000000000001,6.9,7.0,7.7,76,26,0,0,-9,0.6064405706677805,1,0
akersbi01,0,0,0,0,0,13,1.3,2.1,1.3,1.3,2.1,2.1,13,16,0,0,-9,0.7393359743444633,0,0
aldremi01,0,0,0,0,0,89,8.7,6.800000000000001,9.1,8.3,6.1,6.8999999999999995,92,33,0,0,17,0.7317060940246706,1,0
alexada01,0,0,0,0,1,144,13.9,15.000000000000002,13.9,13.9,15.000000000000002,15.000000000000002,144,52,0,1,-14,0.8840628425283157,0,0
alexaga01,0,0,0,0,0,9,0.7999999999999998,4.199999999999999,0.7999999999999998,0.7999999999999999,4.2,4.199999999999999,9,15,0,0,-33,0.7218586729362592,0,0
alexama02,0,0,0,0,0,-21,-2.3000000000000003,-1.4999999999999998,0.0,-1.0,-0.39999999999999986,0.30000000000000004,2,12,0,0,-8,0.5989551448283452,0,0
alfoned01,0,0,0,0,0,313,28.800000000000004,27.60000000000001,28.900000000000002,28.900000000000002,25.800000000000004,26.500000000000004,308,70,1,3,18,0.7764451461793465,1,0
alfonel01,0,0,0,0,0,2,-8.326672684688674e-17,-0.7,-8.326672684688674e-17,-8.326672684688674e-17,-0.7,-0.7,2,8,0,0,6,0.6333652124868192,0,0
alicelu01,0,0,0,0,0,131,11.9,11.9,12.2,12.1,10.899999999999999,11.900000000000002,128,30,0,0,0,0.7045126190929324,1,0
allanan01,0,0,0,0,0,10,0.7999999999999998,1.3000000000000003,1.8,1.8,1.5,1.5000000000000002,20,17,0,0,-5,0.5846416575304407,0,0
