assists,gameWinningGoals,games,gamesStarted,goalAgainstAverage,goals,goalsAgainst,overTimeGoals,plusMinus,points,powerPlayGoals,powerPlayPoints,savePercentage,saves,shortHandedGoals,shortHandedPoints,shots,shotsAgainst,wins,blocked,evenSaves,evenShots,evenStrengthSavePercentage,faceOffPct,hits,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,position_code_C,position_code_D,position_code_G,position_code_L,position_code_R,timeOnIce,timeOnIcePerGame,evenTimeOnIce,evenTimeOnIcePerGame,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,normalized_vote_pct
3.0,1.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,33620,800,31218,743,1525,36,877,20,0.0
6.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,62393,931,52994,790,237,3,9162,136,0.0
29.0,3.0,81.0,0.0,0.0,25.0,0.0,0.0,7.0,54.0,6.0,16.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,54.51,217.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,86051,1062,72363,893,13157,162,531,6,0.0
11.0,1.0,69.0,0.0,0.0,7.0,0.0,0.0,4.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,53858,780,46991,681,6825,98,42,0,0.0
5.0,0.0,67.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,29404,438,28138,419,1256,18,10,0,0.0
33.0,6.0,81.0,0.0,0.0,25.0,0.0,0.0,0.0,58.0,6.0,19.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,82009,1012,65497,808,15298,188,1214,14,0.0
14.0,2.0,68.0,0.0,0.0,14.0,0.0,0.0,-9.0,28.0,1.0,3.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,56270,827,48299,710,7746,113,225,3,0.0
16.0,1.0,82.0,0.0,0.0,1.0,0.0,0.0,15.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,114690,1398,93473,1139,3967,48,17250,210,0.0
14.0,1.0,54.0,0.0,0.0,7.0,0.0,0.0,1.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,37090,686,33383,618,3608,66,99,1,0.0
5.0,1.0,68.0,0.0,0.0,5.0,0.0,0.0,-9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,42.65,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,45513,669,40352,593,1188,17,3973,58,0.0
2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,14668,698,13260,631,1358,64,50,2,0.0
22.0,6.0,76.0,0.0,0.0,11.0,0.0,4.0,12.0,33.0,2.0,10.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,110724,1456,89204,1173,10180,133,11340,149,0.0
1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,-1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,5571,795,5221,745,194,27,156,22,0.0
28.0,3.0,76.0,0.0,0.0,16.0,0.0,0.0,21.0,44.0,5.0,7.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,78350,1030,63983,841,7904,104,6463,85,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1166,1166,1122,1122,39,39,5,5,0.0
20.0,3.0,73.0,0.0,0.0,25.0,0.0,0.0,2.0,45.0,10.0,15.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,48.07,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,76002,1041,61490,842,13678,187,834,11,0.0
10.0,0.0,65.0,0.0,0.0,4.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,54555,839,43763,673,429,6,10363,159,0.0
19.0,4.0,82.0,0.0,0.0,13.0,0.0,0.0,-9.0,32.0,0.0,1.0,0.0,0.0,1.0,2.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,45.08,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,77258,942,63865,778,5988,73,7405,90,0.0
27.0,4.0,73.0,0.0,0.0,21.0,0.0,0.0,12.0,48.0,4.0,10.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,78242,1071,61544,843,12664,173,4034,55,0.0
32.0,8.0,75.0,0.0,0.0,29.0,0.0,1.0,4.0,61.0,8.0,18.0,0.0,0.0,1.0,1.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,45.31,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,85266,1136,63622,848,13487,179,8157,108,0.0
4.0,1.0,42.0,0.0,0.0,10.0,0.0,0.0,-10.0,14.0,3.0,5.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,27736,660,23881,568,3766,89,89,2,0.0
3.0,0.0,73.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,88049,1206,78232,1071,643,8,9174,125,0.0
0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,3196,799,2715,678,460,115,21,5,0.0
4.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,-5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,44990,957,38258,814,5255,111,1477,31,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,790,790,782,782,0,0,8,8,0.0
0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,5314,483,4577,416,367,33,370,33,0.0
8.0,2.0,82.0,0.0,0.0,15.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,46.95,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,76788,936,61401,748,1179,14,14208,173,0.0
38.0,1.0,76.0,0.0,0.0,10.0,0.0,0.0,-4.0,48.0,1.0,14.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,76453,1005,65700,864,10489,138,264,3,0.0
7.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,-3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,11192,746,9782,652,1383,92,27,1,0.0
7.0,0.0,33.0,0.0,0.0,4.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,26560,804,23083,699,2068,62,1409,42,0.0
