,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,aaronha01,Henry Aaron,0.0,0.28,0.425,0.425,0.46,0.54,0.58,0.665,0.645,0.66,0.66,0.66,0.675,0.675,0.675,0.675,0.675,0.67,0.665,0.65,0.65,0.65,0.65,,
1,abreubo01,Bobby Abreu,0.0,0.0,0.205,0.415,0.43,0.43,0.43,0.445,0.485,0.465,0.46,0.465,0.465,0.465,0.445,0.445,0.445,0.445,,,,,,,
2,abreujo02,José Abreu,0.195,0.345,0.4,0.405,0.4,0.405,0.415,0.44,,,,,,,,,,,,,,,,,
3,adcocjo01,Joe Adcock,0.0,0.0,0.0,0.09,0.2,0.245,0.39,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,
4,ageeto01,Tommie Agee,0.0,0.0,0.0,0.0,0.18,0.39,0.39,0.43,0.43,0.43,0.43,0.43,,,,,,,,,,,,,
5,alfoned01,Edgardo Alfonzo,0.0,0.0,0.27,0.4,0.425,0.415,0.415,0.44,0.425,0.415,0.41,0.41,,,,,,,,,,,,,
6,allendi01,Dick Allen,0.0,0.33,0.405,0.42,0.45,0.48,0.51,0.52,0.535,0.535,0.535,0.535,0.535,0.535,0.535,,,,,,,,,,
7,allisbo01,Bob Allison,0.0,0.0,0.025,0.12,0.4,0.41,0.415,0.415,0.415,0.415,0.415,0.415,0.415,,,,,,,,,,,,
8,alomaro01,Roberto Alomar,0.045,0.265,0.38,0.39,0.395,0.415,0.455,0.445,0.46,0.46,0.465,0.44,0.445,0.445,0.445,0.44,0.445,,,,,,,,
9,aloufe01,Felipe Alou,0.0,0.0,0.015,0.125,0.42,0.42,0.42,0.425,0.425,0.425,0.43,0.43,0.43,0.43,0.43,0.43,,,,,,,,,
10,aloumo01,Moises Alou,0.0,0.0,0.11,0.38,0.415,0.415,0.415,0.41,0.395,0.395,0.395,0.395,0.395,0.4,0.4,0.4,0.4,,,,,,,,
11,altuvjo01,José Altuve,0.0,0.0,0.015,0.325,0.395,0.4,0.455,0.49,0.475,0.475,0.475,,,,,,,,,,,,,,
12,anderbr01,Brady Anderson,0.0,0.0,0.0,0.0,0.215,0.395,0.41,0.405,0.4,0.395,0.4,0.435,0.44,0.435,0.44,,,,,,,,,,
13,anderga01,Garret Anderson,0.0,0.01,0.01,0.14,0.145,0.38,0.405,0.415,0.425,0.435,0.435,0.42,0.42,0.41,0.41,0.41,0.41,,,,,,,,
14,anderjo01,John Anderson,0.0,0.0,0.12,0.195,0.245,0.4,0.41,0.41,0.4,0.4,0.39,0.39,0.39,,,,,,,,,,,,
15,andruel01,Elvis Andrus,0.025,0.125,0.255,0.4,0.395,0.375,0.375,0.375,0.39,0.39,0.39,0.39,0.405,,,,,,,,,,,,
16,ansonca01,Cap Anson,0.09,0.165,0.255,0.395,0.43,0.435,0.46,0.46,0.475,0.48,0.53,0.555,0.535,0.54,0.565,0.57,0.565,0.565,0.565,0.565,0.565,0.565,,,
17,aparilu01,Luis Aparicio,0.0,0.11,0.25,0.365,0.435,0.425,0.425,0.425,0.44,0.44,0.435,0.445,0.435,0.44,0.45,0.435,0.435,0.44,,,,,,,
18,applilu01,Luke Appling,0.0,0.0,0.0,0.205,0.31,0.395,0.405,0.405,0.425,0.455,0.475,0.48,0.48,0.465,0.465,0.48,0.48,0.48,0.48,0.57,,,,,
19,arenano01,Nolan Arenado,0.0,0.135,0.42,0.45,0.44,0.445,0.475,0.475,0.475,,,,,,,,,,,,,,,,
20,ashburi01,Richie Ashburn,0.185,0.215,0.415,0.415,0.43,0.44,0.445,0.5,0.5,0.515,0.5,0.495,0.495,0.495,0.51,,,,,,,,,,
21,averiea01,Earl Averill,0.135,0.295,0.415,0.425,0.41,0.47,0.48,0.45,0.45,0.45,0.45,0.46,0.455,,,,,,,,,,,,
22,avilabo01,Bobby Avila,0.0,0.0,0.195,0.41,0.39,0.4,0.395,0.395,0.395,0.395,0.405,,,,,,,,,,,,,,
23,bagweje01,Jeff Bagwell,0.185,0.34,0.405,0.42,0.435,0.485,0.53,0.535,0.55,0.58,0.59,0.59,0.585,0.585,0.585,,,,,,,,,,
24,bailebo01,Bob Bailey,0.0,0.0,0.11,0.13,0.385,0.385,0.385,0.39,0.38,0.38,0.38,0.39,0.39,0.39,0.395,0.395,0.395,,,,,,,,
25,baileed01,Ed Bailey,0.0,0.0,0.0,0.195,0.29,0.415,0.41,0.41,0.41,0.41,0.41,0.41,0.41,,,,,,,,,,,,
26,baineha01,Harold Baines,0.0,0.0,0.135,0.17,0.4,0.39,0.385,0.385,0.385,0.395,0.395,0.385,0.385,0.385,0.395,0.395,0.395,0.395,0.385,0.39,0.395,0.405,,,
27,bakerdu01,Dusty Baker,0.0,0.0,0.0,0.08,0.28,0.42,0.405,0.415,0.415,0.42,0.42,0.42,0.41,0.39,0.39,0.39,0.39,0.39,,,,,,,
28,bakerfr01,Home Run Baker,0.0,0.195,0.415,0.41,0.41,0.475,0.515,0.565,0.575,0.575,0.58,0.58,0.58,,,,,,,,,,,,
29,bancrda01,Dave Bancroft,0.04,0.175,0.39,0.41,0.405,0.43,0.43,0.43,0.43,0.43,0.43,0.435,0.435,0.435,0.435,0.435,,,,,,,,,
30,bandosa01,Sal Bando,0.0,0.0,0.115,0.405,0.405,0.425,0.43,0.5,0.5,0.505,0.51,0.51,0.51,0.515,0.515,0.515,,,,,,,,,
31,bankser01,Ernie Banks,0.0,0.0,0.41,0.42,0.405,0.48,0.51,0.57,0.585,0.585,0.58,0.58,0.58,0.58,0.58,0.585,0.585,0.585,0.605,,,,,,
32,barfije01,Jesse Barfield,0.0,0.0,0.09,0.14,0.4,0.435,0.435,0.45,0.445,0.45,0.445,0.45,,,,,,,,,,,,,
33,barryja01,Jack Barry,0.0,0.0,0.175,0.375,0.39,0.4,0.4,0.4,0.4,0.415,0.415,,,,,,,,,,,,,,
34,bartedi01,Dick Bartell,0.0,0.0,0.0,0.115,0.12,0.385,0.385,0.385,0.375,0.41,0.415,0.43,0.43,0.415,0.415,0.415,0.415,,,,,,,,
35,bauerha01,Hank Bauer,0.0,0.0,0.0,0.12,0.255,0.41,0.41,0.435,0.435,0.425,0.435,0.435,0.42,0.42,,,,,,,,,,,
36,bautijo02,José Bautista,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.405,0.405,0.405,0.445,0.475,0.48,0.48,0.48,,,,,,,,,,
