goalsAgainst,goalsScored,points,divisionRank,divisionL10Rank,divisionRoadRank,divisionHomeRank,conferenceRank,conferenceL10Rank,conferenceRoadRank,conferenceHomeRank,leagueRank,leagueL10Rank,leagueRoadRank,leagueHomeRank,wildCardRank,row,gamesPlayed,clinchIndicator,pointsPercentage,ppDivisionRank,ppConferenceRank,ppLeagueRank,lastUpdated,team.id,team.name,team.link,leagueRecord.wins,leagueRecord.losses,leagueRecord.ot,leagueRecord.type,streak.streakType,streak.streakNumber,streak.streakCode
182,263,118,1,1,2,1,1,2,2,1,1,4,3,1,0,53,82,p,0.7195121951219512,1,1,1,2021-07-08T10:37:40Z,15,Washington Capitals,/api/v1/teams/15,55,19,8,league,losses,1,L1
234,282,111,2,5,4,2,2,10,8,2,2,18,13,2,0,46,82,x,0.676829268292683,2,2,2,2021-07-08T10:37:40Z,5,Pittsburgh Penguins,/api/v1/teams/5,50,21,11,league,losses,2,L2
195,249,108,3,7,3,3,3,15,3,3,4,27,4,4,0,48,82,x,0.6585365853658537,3,3,4,2021-07-08T10:37:40Z,29,Columbus Blue Jackets,/api/v1/teams/29,50,24,8,league,wins,1,W1
220,256,102,4,6,1,7,5,12,1,12,9,22,1,22,1,45,82,x,0.6219512195121951,4,5,9,2021-07-08T10:37:40Z,3,New York Rangers,/api/v1/teams/3,48,28,6,league,wins,1,W1
242,241,94,5,2,5,6,9,3,10,8,17,7,16,15,3,39,82,,0.573170731707317,5,9,16,2021-07-08T10:37:40Z,2,New York Islanders,/api/v1/teams/2,41,29,12,league,wins,6,W6
236,219,88,6,3,7,4,11,4,14,4,19,8,24,9,5,32,82,,0.5365853658536586,6,11,19,2021-07-08T10:37:40Z,4,Philadelphia Flyers,/api/v1/teams/4,39,33,10,league,ot,1,OT1
236,215,87,7,4,6,5,12,8,13,6,21,16,23,13,6,33,82,,0.5304878048780488,7,12,21,2021-07-08T10:37:40Z,12,Carolina Hurricanes,/api/v1/teams/12,36,31,15,league,wins,1,W1
244,183,70,8,8,8,8,16,16,16,16,27,29,26,29,10,25,82,,0.4268292682926829,8,16,28,2021-07-08T10:37:40Z,1,New Jersey Devils,/api/v1/teams/1,28,40,14,league,losses,3,L3
200,226,103,1,3,1,1,4,6,4,5,7,10,6,11,0,44,82,y,0.6280487804878049,1,4,8,2021-07-08T10:37:40Z,8,Montréal Canadiens,/api/v1/teams/8,47,26,9,league,wins,1,W1
214,212,98,2,6,3,2,6,11,6,7,12,19,11,14,0,38,82,x,0.5975609756097561,2,6,12,2021-07-08T10:37:40Z,9,Ottawa Senators,/api/v1/teams/9,44,28,10,league,losses,1,L1
212,234,95,3,2,2,5,7,5,5,11,13,9,8,21,0,42,82,x,0.5792682926829268,3,7,13,2021-07-08T10:37:40Z,6,Boston Bruins,/api/v1/teams/6,44,31,7,league,losses,1,L1
